ADC, mV wed_noor_calib4_period05_replugged 
847.000000, 420.000000
856.000000, 420.000000
847.000000, 425.000000
856.000000, 425.000000
839.000000, 425.000000
847.000000, 425.000000
839.000000, 425.000000
856.000000, 425.000000
851.000000, 425.000000
851.000000, 425.000000
851.000000, 425.000000
856.000000, 425.000000
847.000000, 430.000000
860.000000, 430.000000
864.000000, 430.000000
860.000000, 430.000000
844.000000, 430.000000
839.000000, 430.000000
841.000000, 430.000000
841.000000, 430.000000
857.000000, 430.000000
844.000000, 430.000000
856.000000, 435.000000
861.000000, 435.000000
847.000000, 435.000000
844.000000, 435.000000
847.000000, 435.000000
847.000000, 435.000000
847.000000, 435.000000
866.000000, 435.000000
851.000000, 435.000000
860.000000, 435.000000
857.000000, 440.000000
851.000000, 440.000000
856.000000, 440.000000
851.000000, 440.000000
865.000000, 440.000000
847.000000, 440.000000
862.000000, 440.000000
860.000000, 440.000000
851.000000, 440.000000
851.000000, 440.000000
851.000000, 445.000000
856.000000, 445.000000
851.000000, 445.000000
850.000000, 445.000000
856.000000, 445.000000
851.000000, 445.000000
857.000000, 450.000000
847.000000, 450.000000
857.000000, 450.000000
856.000000, 450.000000
870.000000, 450.000000
860.000000, 450.000000
868.000000, 455.000000
864.000000, 460.000000
876.000000, 460.000000
62.000000, 505.000000
62.000000, 505.000000
63.000000, 505.000000
62.000000, 505.000000
66.000000, 505.000000
62.000000, 505.000000
62.000000, 505.000000
62.000000, 505.000000
63.000000, 505.000000
62.000000, 510.000000
62.000000, 510.000000
62.000000, 510.000000
62.000000, 510.000000
63.000000, 515.000000
63.000000, 515.000000
63.000000, 515.000000
63.000000, 515.000000
63.000000, 515.000000
62.000000, 515.000000
63.000000, 515.000000
63.000000, 515.000000
62.000000, 515.000000
63.000000, 520.000000
63.000000, 520.000000
63.000000, 520.000000
62.000000, 520.000000
63.000000, 520.000000
63.000000, 520.000000
63.000000, 520.000000
62.000000, 520.000000
63.000000, 520.000000
63.000000, 525.000000
63.000000, 525.000000
63.000000, 525.000000
63.000000, 525.000000
63.000000, 525.000000
63.000000, 525.000000
63.000000, 525.000000
66.000000, 525.000000
63.000000, 525.000000
62.000000, 530.000000
63.000000, 530.000000
63.000000, 530.000000
63.000000, 530.000000
63.000000, 530.000000
63.000000, 530.000000
63.000000, 530.000000
63.000000, 530.000000
63.000000, 530.000000
63.000000, 530.000000
67.000000, 535.000000
67.000000, 535.000000
67.000000, 535.000000
67.000000, 535.000000
67.000000, 535.000000
69.000000, 535.000000
67.000000, 535.000000
67.000000, 535.000000
67.000000, 535.000000
63.000000, 540.000000
70.000000, 540.000000
67.000000, 540.000000
70.000000, 540.000000
70.000000, 540.000000
70.000000, 540.000000
69.000000, 540.000000
70.000000, 540.000000
71.000000, 540.000000
63.000000, 545.000000
70.000000, 545.000000
69.000000, 545.000000
67.000000, 545.000000
67.000000, 545.000000
71.000000, 545.000000
67.000000, 545.000000
67.000000, 545.000000
67.000000, 545.000000
67.000000, 545.000000
63.000000, 550.000000
63.000000, 550.000000
